"indic_de","unit","geo","time","values"
"PC_Y75_79","PC","CH0",2018,3.5
"PC_Y80_84","PC","CH0",2018,2.6
"PC_Y85_MAX","PC","CH0",2018,2.6
"PC_Y60_64","PC","CH01",2017,5.2
"PC_Y65_69","PC","CH01",2017,4.8
"PC_Y70_74","PC","CH01",2017,4.3
"PC_Y75_79","PC","CH01",2017,3.1
"PC_Y80_84","PC","CH01",2017,2.4
"PC_Y85_MAX","PC","CH01",2017,2.4
"PC_Y60_64","PC","CH01",2018,5.3
"PC_Y65_69","PC","CH01",2018,4.6
"PC_Y70_74","PC","CH01",2018,4.4
"PC_Y75_79","PC","CH01",2018,3.2
"PC_Y80_84","PC","CH01",2018,2.4
"PC_Y85_MAX","PC","CH01",2018,2.5
"PC_Y60_64","PC","CH02",2017,6
"PC_Y65_69","PC","CH02",2017,5.5
"PC_Y70_74","PC","CH02",2017,4.8
"PC_Y75_79","PC","CH02",2017,3.4
"PC_Y80_84","PC","CH02",2017,2.7
"PC_Y85_MAX","PC","CH02",2017,2.7
"PC_Y60_64","PC","CH02",2018,6.1
"PC_Y65_69","PC","CH02",2018,5.4
"PC_Y70_74","PC","CH02",2018,4.9
"PC_Y75_79","PC","CH02",2018,3.6
"PC_Y80_84","PC","CH02",2018,2.7
"PC_Y85_MAX","PC","CH02",2018,2.7
"PC_Y60_64","PC","CH03",2017,6
"PC_Y65_69","PC","CH03",2017,5.2
"PC_Y70_74","PC","CH03",2017,4.7
"PC_Y75_79","PC","CH03",2017,3.5
"PC_Y80_84","PC","CH03",2017,2.7
"PC_Y85_MAX","PC","CH03",2017,2.6
"PC_Y60_64","PC","CH03",2018,6.1
"PC_Y65_69","PC","CH03",2018,5.2
"PC_Y70_74","PC","CH03",2018,4.7
"PC_Y75_79","PC","CH03",2018,3.6
"PC_Y80_84","PC","CH03",2018,2.7
"PC_Y85_MAX","PC","CH03",2018,2.6
"PC_Y60_64","PC","CH04",2017,5.2
"PC_Y65_69","PC","CH04",2017,4.6
"PC_Y70_74","PC","CH04",2017,4.3
"PC_Y75_79","PC","CH04",2017,3.2
"PC_Y80_84","PC","CH04",2017,2.4
"PC_Y85_MAX","PC","CH04",2017,2.4
"PC_Y60_64","PC","CH04",2018,5.2
"PC_Y65_69","PC","CH04",2018,4.6
"PC_Y70_74","PC","CH04",2018,4.3
"PC_Y75_79","PC","CH04",2018,3.3
"PC_Y80_84","PC","CH04",2018,2.4
"PC_Y85_MAX","PC","CH04",2018,2.4
"PC_Y60_64","PC","CH05",2017,6.1
"PC_Y65_69","PC","CH05",2017,5.3
