"indic_de","unit","geo","time","values"
"OLDDEP1","PC","CH04",2018,25
"OLDDEP2","PC","CH04",2018,38.3
"PC_FM","PC","CH04",2018,101
"PC_Y60_MAX","PC","CH04",2018,22.2
"PC_Y65_MAX","PC","CH04",2018,17
"OLDDEP1","PC","CH05",2017,27.4
"OLDDEP2","PC","CH05",2017,44
"PC_FM","PC","CH05",2017,99.5
"PC_Y60_MAX","PC","CH05",2017,24.4
"PC_Y65_MAX","PC","CH05",2017,18.3
"OLDDEP1","PC","CH05",2018,28
"OLDDEP2","PC","CH05",2018,45
"PC_FM","PC","CH05",2018,99.4
"PC_Y60_MAX","PC","CH05",2018,24.9
"PC_Y65_MAX","PC","CH05",2018,18.6
"OLDDEP1","PC","CH06",2017,25.6
"OLDDEP2","PC","CH06",2017,40.8
"PC_FM","PC","CH06",2017,98.5
"PC_Y60_MAX","PC","CH06",2017,23.1
"PC_Y65_MAX","PC","CH06",2017,17.3
"OLDDEP1","PC","CH06",2018,26.1
"OLDDEP2","PC","CH06",2018,41.8
"PC_FM","PC","CH06",2018,98.5
"PC_Y60_MAX","PC","CH06",2018,23.5
"PC_Y65_MAX","PC","CH06",2018,17.6
"OLDDEP1","PC","CH07",2017,34.1
"OLDDEP2","PC","CH07",2017,52.3
"PC_FM","PC","CH07",2017,105
"PC_Y60_MAX","PC","CH07",2017,28
"PC_Y65_MAX","PC","CH07",2017,22
"OLDDEP1","PC","CH07",2018,34.6
"OLDDEP2","PC","CH07",2018,53.3
"PC_FM","PC","CH07",2018,105
"PC_Y60_MAX","PC","CH07",2018,28.4
"PC_Y65_MAX","PC","CH07",2018,22.3
"OLDDEP1","PC","CY",2017,22.8
"OLDDEP2","PC","CY",2017,36.9
"PC_FM","PC","CY",2017,105.2
"PC_Y60_MAX","PC","CY",2017,21
"PC_Y65_MAX","PC","CY",2017,15.6
"OLDDEP1","PC","CY",2018,23.4
"OLDDEP2","PC","CY",2018,37.5
"PC_FM","PC","CY",2018,105
"PC_Y60_MAX","PC","CY",2018,21.3
"PC_Y65_MAX","PC","CY",2018,15.9
"OLDDEP1","PC","CY0",2017,22.8
"OLDDEP2","PC","CY0",2017,36.9
"PC_FM","PC","CY0",2017,105.2
"PC_Y60_MAX","PC","CY0",2017,21
"PC_Y65_MAX","PC","CY0",2017,15.6
"OLDDEP1","PC","CY0",2018,23.4
"OLDDEP2","PC","CY0",2018,37.5
"PC_FM","PC","CY0",2018,105
"PC_Y60_MAX","PC","CY0",2018,21.3
"PC_Y65_MAX","PC","CY0",2018,15.9
"OLDDEP1","PC","CY00",2017,22.8
"OLDDEP2","PC","CY00",2017,36.9
"PC_FM","PC","CY00",2017,105.2
"PC_Y60_MAX","PC","CY00",2017,21
"PC_Y65_MAX","PC","CY00",2017,15.6
"OLDDEP1","PC","CY00",2018,23.4
"OLDDEP2","PC","CY00",2018,37.5
"PC_FM","PC","CY00",2018,105
"PC_Y60_MAX","PC","CY00",2018,21.3
"PC_Y65_MAX","PC","CY00",2018,15.9
"OLDDEP1","PC","CZ",2017,28.6
"OLDDEP2","PC","CZ",2017,46.8
"PC_FM","PC","CZ",2017,103.4
"PC_Y60_MAX","PC","CZ",2017,25.5
"PC_Y65_MAX","PC","CZ",2017,18.8
"OLDDEP1","PC","CZ",2018,29.6
"OLDDEP2","PC","CZ",2018,47.7
"PC_FM","PC","CZ",2018,103.3
"PC_Y60_MAX","PC","CZ",2018,25.8
"PC_Y65_MAX","PC","CZ",2018,19.2
"OLDDEP1","PC","CZ0",2017,28.6
"OLDDEP2","PC","CZ0",2017,46.8
"PC_FM","PC","CZ0",2017,103.4
"PC_Y60_MAX","PC","CZ0",2017,25.5
"PC_Y65_MAX","PC","CZ0",2017,18.8
"OLDDEP1","PC","CZ0",2018,29.6
"OLDDEP2","PC","CZ0",2018,47.7
"PC_FM","PC","CZ0",2018,103.3
"PC_Y60_MAX","PC","CZ0",2018,25.8
"PC_Y65_MAX","PC","CZ0",2018,19.2
"OLDDEP1","PC","CZ01",2017,28.2
"OLDDEP2","PC","CZ01",2017,43.9
"PC_FM","PC","CZ01",2017,106
"PC_Y60_MAX","PC","CZ01",2017,24.8
"PC_Y65_MAX","PC","CZ01",2017,18.6
"OLDDEP1","PC","CZ01",2018,28.6
"OLDDEP2","PC","CZ01",2018,43.9
"PC_FM","PC","CZ01",2018,105.6
"PC_Y60_MAX","PC","CZ01",2018,24.7
"PC_Y65_MAX","PC","CZ01",2018,18.8
"OLDDEP1","PC","CZ02",2017,26.9
"OLDDEP2","PC","CZ02",2017,44.2
"PC_FM","PC","CZ02",2017,102.6
"PC_Y60_MAX","PC","CZ02",2017,24
"PC_Y65_MAX","PC","CZ02",2017,17.5
"OLDDEP1","PC","CZ02",2018,27.8
"OLDDEP2","PC","CZ02",2018,44.9
"PC_FM","PC","CZ02",2018,102.5
"PC_Y60_MAX","PC","CZ02",2018,24.2
"PC_Y65_MAX","PC","CZ02",2018,17.9
"OLDDEP1","PC","CZ03",2017,29.2
