unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,HU31	0.7 	-1.7 	-2.1 	-11.1 	-1.3 	1.9 	-3.1 	4 	6 	7.3 	0.9 	: 
PCH_PRE,HU32	2.6 	-2.2 	3 	-4.3 	-2 	3.6 	-2.2 	1.1 	6.7 	1.9 	1.8 	: 
PCH_PRE,HU33	0.9 	-4 	5.4 	-7 	-2.8 	2.9 	-1.4 	4.5 	6.9 	4.1 	1.4 	: 
PCH_PRE,HUZZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PCH_PRE,IE04	4.3 	6.7 	-2.7 	-7.3 	1.1 	6.8 	-1.5 	0.8 	6.9 	5.4 	5.6 	5.3 e
PCH_PRE,IE05	3.6 	7 	-3.8 	-7.3 	1.6 	5.8 	-1.5 	0.5 	7.9 	34.9 	5.6 	6.7 e
PCH_PRE,IE06	5.1 	8.5 	-1.2 	-5.7 	2.6 	9.3 	-1.6 	2.7 	8.1 	9.3 	6.1 	6.8 e
PCH_PRE,ITC1	1.9 	0.9 	-1.9 	-8.5 	3.7 	0.9 	-4.2 	0.1 	-0.8 	1 	1.3 	1 
PCH_PRE,ITC2	1.2 	0.5 	0.1 	-6.5 	4.8 	-0.7 	-0.1 	-4.9 	-1.1 	-1.6 	-2.1 	1.6 
PCH_PRE,ITC3	0.6 	2.4 	-0.2 	-6.5 	-0.8 	0.3 	-3 	-2.2 	0.9 	-0.3 	0.4 	0.6 
PCH_PRE,ITC4	1.4 	1.7 	1.8 	-6.2 	4.5 	0.6 	-2.3 	-1.7 	0.8 	1.2 	1.6 	2.7 
PCH_PRE,ITF1	2.2 	1.8 	0.1 	-6.3 	2.2 	2.5 	-1.2 	-2.2 	-0.7 	0 	0.1 	1.5 
PCH_PRE,ITF2	2.7 	1.1 	-5 	-4.3 	-1.3 	-1.6 	-2.7 	-7.1 	-1.1 	1.8 	0.5 	-0.6 
PCH_PRE,ITF3	1.7 	1.4 	-1.9 	-5 	-2.1 	-1.4 	-2.1 	-2.5 	0.3 	1.6 	0.6 	1.5 
PCH_PRE,ITF4	2.3 	0.4 	-2.8 	-4.7 	0.8 	0.1 	-0.7 	-3 	0.2 	1.2 	0.8 	0.8 
PCH_PRE,ITF5	2.5 	1.9 	-3.2 	-5.9 	-2.8 	2 	-1.2 	1.8 	-1.2 	9 	1.5 	0.6 
PCH_PRE,ITF6	0.8 	0.8 	-1.1 	-4.1 	-0.9 	-0.7 	-3.5 	-2.7 	-0.7 	1.3 	-0.9 	1 
PCH_PRE,ITG1	1.8 	-0.1 	-1.5 	-4.4 	-0.3 	-1.7 	-2 	-2.1 	-2.4 	0.6 	0.3 	0.3 
PCH_PRE,ITG2	0.9 	1.1 	0.5 	-4.6 	-0.4 	-0.9 	-0.8 	-3.1 	-0.5 	1.8 	-1.9 	0.7 
PCH_PRE,ITH1	3.9 	2.1 	0.5 	-2.1 	3.1 	2.2 	2.1 	0.1 	0.8 	1.9 	0.6 	0.2 
PCH_PRE,ITH2	1.5 	2.3 	-1.1 	-3.3 	2.4 	0.5 	-1.1 	0.6 	0.5 	-0.7 	1 	2.6 
PCH_PRE,ITH3	1.8 	1.7 	-1.9 	-5.9 	1.9 	1.5 	-2.8 	-0.7 	0.6 	1.3 	1.7 	2.2 
PCH_PRE,ITH4	2.6 	1.9 	-2.6 	-7.3 	3.1 	0.1 	-4 	0.4 	-0.1 	2 	-0.2 	1.2 
PCH_PRE,ITH5	3.5 	2.4 	-0.7 	-7 	2.2 	2.6 	-2.3 	-0.4 	1 	0.6 	1.4 	1.8 
PCH_PRE,ITI1	2.4 	1.7 	-1.2 	-4.1 	1.1 	0.9 	-1.3 	-1.8 	1.4 	0.1 	0.7 	0.7 
PCH_PRE,ITI2	2.4 	0.9 	-1.2 	-8.2 	1.7 	-0.8 	-4 	-2.7 	-2.6 	2.8 	-0.8 	-0.1 
PCH_PRE,ITI3	3.7 	1.7 	-2.9 	-5 	0.6 	-0.1 	-3.3 	-2.1 	1.9 	-0.7 	0.5 	-0.4 
PCH_PRE,ITI4	1.7 	2.2 	-1.9 	-2.9 	0.5 	0.7 	-3.3 	-1.8 	-0.1 	-0.2 	2.5 	1.1 
