"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","F","NL22",2017,41.9
"TOTAL","INPAT","P_HTHAB","M","F","NL23",2017,47.8
"TOTAL","INPAT","P_HTHAB","M","F","NL31",2017,36.6
"TOTAL","INPAT","P_HTHAB","M","F","NL32",2017,71.1
"TOTAL","INPAT","P_HTHAB","M","F","NL33",2017,42.2
"TOTAL","INPAT","P_HTHAB","M","F","NL34",2017,64.9
"TOTAL","INPAT","P_HTHAB","M","F","NL41",2017,48.8
"TOTAL","INPAT","P_HTHAB","M","F","NL42",2017,51.4
"TOTAL","INPAT","P_HTHAB","M","F","NO",2017,1369.9
"TOTAL","INPAT","P_HTHAB","M","F","PL",2017,943.2
"TOTAL","INPAT","P_HTHAB","M","F","RO",2017,1338.8
"TOTAL","INPAT","P_HTHAB","M","F","RO11",2017,1348.5
"TOTAL","INPAT","P_HTHAB","M","F","RO12",2017,1131.9
"TOTAL","INPAT","P_HTHAB","M","F","RO21",2017,1589.9
"TOTAL","INPAT","P_HTHAB","M","F","RO22",2017,1280.9
"TOTAL","INPAT","P_HTHAB","M","F","RO31",2017,1149.2
"TOTAL","INPAT","P_HTHAB","M","F","RO32",2017,1735.7
"TOTAL","INPAT","P_HTHAB","M","F","RO41",2017,1207.6
"TOTAL","INPAT","P_HTHAB","M","F","RO42",2017,1187
"TOTAL","INPAT","P_HTHAB","M","F","RS",2017,530.6
"TOTAL","INPAT","P_HTHAB","M","F","SE",2017,985.5
"TOTAL","INPAT","P_HTHAB","M","F","SI",2017,610.6
"TOTAL","INPAT","P_HTHAB","M","F","SK",2017,916.4
"TOTAL","INPAT","P_HTHAB","M","G","AT",2017,1297.8
"TOTAL","INPAT","P_HTHAB","M","G","AT11",2017,923.4
"TOTAL","INPAT","P_HTHAB","M","G","AT12",2017,983.1
"TOTAL","INPAT","P_HTHAB","M","G","AT13",2017,1400.6
"TOTAL","INPAT","P_HTHAB","M","G","AT21",2017,1652.1
